A,bone_black,arylide_yellow,diarylide,cadmium_orange,pyrrole_orange,k_cadmium_red,k_pyrrole_red,k_quinacridone_red,k_quinacridone_magenta,dioxazine_purple_tints,k_ultramarine_blue,k_cobalt_blue,k_cerulean_blue,phthalo_blue_red_shade,phathalo_blue_green_shade_tints,phathlo_green_blue_shade,phathlo_green_yellow_shade,biz_vanadate_yellow,PH G and Biz Y mix,PH G and Biz Y mix,PH G and Biz Y mix,Phthalo B (GS) and Phthalo G (BS),Quin Mag and Dioxazine P,titanium_white
380,0.3178113977,0.5121000813,0.3877581168,0.2137362068,0.009634750493,0.5539691641,0.483940381,0.3230172529,0.2818376122,0.1870930874,0.206246588,0.004622221051,0.01333540466,0.5777252476,0.1638070547,0.9396260431,0.5047703833,0.305172279,0.355071805,0.3176471605,0.3082909993,0.5517165489,0.2723631598,0.5300007693
390,0.2339523997,0.8119541071,0.8125072101,0.5197967078,0.06138617417,0.5236368315,0.3638484674,0.1384533929,0.1311114383,0.2456136584,0.0664181998,0.004391320415,0.01209323348,0.3201938663,0.2417450916,1.05942217,0.5800764183,0.5777399702,0.5783240822,0.5778859982,0.5777764772,0.6505836306,0.1425616603,0.2274411718
400,0.204520371,0.9968358432,1.085039654,0.709203896,0.28548753,0.5079093465,0.3590780254,0.08886342613,0.0870084669,0.2822414233,0.02594684846,0.004248897316,0.01165170367,0.1964214151,0.3053596954,1.134921727,0.6117786576,0.7441270281,0.7110399354,0.7358552549,0.7420590848,0.7201407113,0.1065317625,0.04981311208
410,0.1894640912,1.035420973,1.139217292,0.6762852535,0.2733383389,0.5069563472,0.3773899036,0.07172952341,0.07171140663,0.2325517113,0.01473894964,0.003970302094,0.01178470064,0.1300052506,0.1927505287,0.9721666491,0.5702162545,0.7163118265,0.6797879335,0.7071808532,0.7140290832,0.5824585889,0.0877954371,0.005760330305
420,0.1888136015,1.143802755,1.274059619,0.6922742824,0.3095127133,0.5232456078,0.428871497,0.07449687824,0.06974790762,0.2062338942,0.00916511221,0.003419851126,0.01008367198,0.1012015551,0.1548598786,0.8652232803,0.5364089765,0.7378501787,0.6874898782,0.7252601036,0.7347026599,0.5100415795,0.08339650628,0.0003661315702
430,0.1931797682,1.267675848,1.430012897,0.7173209926,0.3559206301,0.5418476985,0.4905806076,0.09272101612,0.07920258806,0.1878440304,0.006530199774,0.003166591325,0.008823018285,0.07919819405,0.1085978137,0.749365319,0.4906100765,0.7678128151,0.6985121305,0.750487644,0.7634815224,0.4289815663,0.0900667323,0.00002172077745
440,0.1975960035,1.387755811,1.566876765,0.7427755087,0.405143943,0.5605356058,0.549133547,0.1256744448,0.09819927841,0.1857086912,0.005486027036,0.003314258635,0.008516281649,0.05383133391,0.05122429886,0.6312726883,0.4347900909,0.7837113183,0.6964810114,0.7619037416,0.7782594241,0.3412484936,0.1069502197,0.000006051259638
450,0.2012597296,1.480494501,1.679481453,0.7646085535,0.4660474442,0.5765755333,0.59981763,0.171372399,0.1259235821,0.2055635904,0.005341094772,0.003991957565,0.008190676024,0.03208122114,0.02851905563,0.4857557081,0.3725056034,0.7605627826,0.6635484878,0.7363092089,0.7544993892,0.2571373819,0.1338875829,0.000003371632358
460,0.2054769534,1.565093133,1.785741426,0.7888321159,0.5169832257,0.5937781319,0.6523133681,0.2230295766,0.1625231404,0.254072929,0.00700743566,0.004810019429,0.007556183451,0.02541695526,0.02533854381,0.3204861367,0.2848785201,0.6421815541,0.5528557956,0.6198501145,0.6365986942,0.1729123402,0.1716781192,0.000003499942697
470,0.2105212666,1.645370982,1.826797633,0.8158158633,0.5578180263,0.6124532068,0.7044385781,0.296523111,0.2090552855,0.3335401072,0.01177488627,0.006693304431,0.007283145716,0.02792491068,0.02789783307,0.1800325051,0.161412245,0.4333468828,0.3653632234,0.4163509679,0.4290979041,0.1039651691,0.2215037677,0.000005732820622
