A,bone_black,arylide_yellow,diarylide,cadmium_orange,pyrrole_orange,k_cadmium_red,k_pyrrole_red,k_quinacridone_red,k_quinacridone_magenta,dioxazine_purple_tints,k_ultramarine_blue,k_cobalt_blue,k_cerulean_blue,phthalo_blue_red_shade,phathalo_blue_green_shade_tints,phathlo_green_blue_shade,phathlo_green_yellow_shade,biz_vanadate_yellow,PH G and Biz Y mix,PH G and Biz Y mix,PH G and Biz Y mix,Phthalo B (GS) and Phthalo G (BS),Quin Mag and Dioxazine P,titanium_white
380, 0.03680248133, 0.1039844793, 0.07594923891, 0.03346146529, 0.001183170833, 0.08755894058, 0.05248567796, 0.1670201299, 0.1368796462, 0.02180266252, 0.03686415067, 0.01983422987, 0.0356287487, 0.09278236771, 0.04956526589, 0.1147404229, 0.05277739633, 0.06031314739, 0.05842920963, 0.05984216295, 0.06019540128, 0.08215284441, 0.1253719478, 1
390, 0.02561449955, 0.1573865109, 0.1480234584, 0.07229520821, 0.006215544209, 0.07423757416, 0.03288828948, 0.07819730062, 0.06299423308, 0.02864939069, 0.01325173983, 0.02230452292, 0.03938903539, 0.05350762684, 0.07325255111, 0.1304122484, 0.06110957312, 0.1001125672, 0.0903618187, 0.0976748801, 0.09950314545, 0.1018323997, 0.05955974884, 1
400, 0.02126887671, 0.1891522959, 0.1827475354, 0.09196604584, 0.02483394499, 0.06781704534, 0.02822257216, 0.0511793078, 0.04296894742, 0.03295378603, 0.006797903781, 0.02395150031, 0.04112468376, 0.03511800734, 0.09449466284, 0.1404890978, 0.06405530091, 0.121137254, 0.1068667658, 0.117569632, 0.1202453485, 0.1174918803, 0.04196743128, 1
410, 0.01872457931, 0.1924708387, 0.1768020005, 0.08277116429, 0.02128821344, 0.06431741119, 0.02700399991, 0.03742535082, 0.0321988193, 0.02556097236, 0.005670380555, 0.0271156717, 0.04058376965, 0.02388373493, 0.06765933661, 0.119997032, 0.0594437652, 0.1148503515, 0.1009987049, 0.1113874399, 0.1139846236, 0.0938281843, 0.0315350346, 1
420, 0.01811655855, 0.2080777245, 0.1823559754, 0.08228447466, 0.02255288209, 0.06405137736, 0.02905066564, 0.03105111479, 0.02738564019, 0.02135479646, 0.005379319961, 0.03344333746, 0.03700800583, 0.01798349052, 0.05315094485, 0.1082147873, 0.05579020601, 0.1199886722, 0.1039390557, 0.1159762681, 0.1189855712, 0.08068286607, 0.02678255582, 1
430, 0.01795418239, 0.229191971, 0.1886224617, 0.08418625417, 0.02536168467, 0.06526941031, 0.03292518443, 0.0287972633, 0.02582406371, 0.01846506704, 0.005914391834, 0.03642387942, 0.03593363622, 0.01438050077, 0.04076767636, 0.09708870779, 0.05241052185, 0.1288772601, 0.1097605755, 0.1240980889, 0.1276824673, 0.06892819207, 0.02508816404, 1
440, 0.0180080807, 0.2435864837, 0.1912681427, 0.08700773693, 0.0285737269, 0.06662586636, 0.03628088956, 0.02840056815, 0.02559066238, 0.01683628411, 0.006990353884, 0.03660885366, 0.0361336113, 0.011527896, 0.02687430623, 0.08587523867, 0.04934595818, 0.1397182474, 0.1171251751, 0.1340699793, 0.1383061804, 0.05637477245, 0.02471522456, 1
450, 0.01814276349, 0.2467577047, 0.1966179641, 0.08939315667, 0.03340812238, 0.06866599719, 0.04039904301, 0.02945205401, 0.02616861028, 0.01736290361, 0.007605418688, 0.03607478062, 0.03591281555, 0.00994000544, 0.01872648431, 0.07323742329, 0.04565709594, 0.1569257197, 0.1291085637, 0.1499714307, 0.1551871474, 0.0459819538, 0.02528803961, 1
460, 0.01842403181, 0.2619597286, 0.2051762794, 0.09272407545, 0.03700443986, 0.07086042954, 0.04463030491, 0.03150583008, 0.02752487908, 0.02001031419, 0.007524339119, 0.03571970931, 0.03595806532, 0.009674530299, 0.01567809853, 0.0587117576, 0.04083276789, 0.1983550378, 0.1589744703, 0.1885098959, 0.1958937523, 0.03719492807, 0.0267734226, 1
470, 0.01845082799, 0.2913719738, 0.2026840827, 0.09617376492, 0.03991402782, 0.07290954781, 0.04771687963, 0.03559688889, 0.02962378999, 0.02468926272, 0.006448340712, 0.03522230124, 0.03597036855, 0.009392209729, 0.01420896084, 0.04332478753, 0.02861497329, 0.2861195869, 0.2217434335, 0.2700255486, 0.2820960774, 0.02876687419, 0.02913033727, 1
480, 0.0186306668, 0.3200599071, 0.1934799758, 0.1005433068, 0.04806349881, 0.07571906709, 0.04997451404, 0.04240386863, 0.03341830989, 0.03364137862, 0.004589699444, 0.03392034396, 0.03577609538, 0.008346126372, 0.01318211027, 0.03285068063, 0.01396782903, 0.2972194151, 0.2264065186, 0.279516191, 0.2927936091, 0.02301639545, 0.03344061676, 1
490, 0.01872912785, 0.3828145283, 0.2033150739, 0.1066556707, 0.05742154467, 0.07853010414, 0.05213208957, 0.04835668169, 0.03887800882, 0.04981620736, 0.003203452254, 0.03444740034, 0.03591209994, 0.00698262796, 0.01231465888, 0.02411993367, 0.007465329931, 0.2879332874, 0.217816298, 0.2704040401, 0.2835509756, 0.01821729628, 0.03997182867, 1
500, 0.01891371027, 0.4868950751, 0.2369039893, 0.1151050134, 0.05892429779, 0.08248916056, 0.05546143042, 0.05272822181, 0.04403676645, 0.0739712695, 0.003283431731, 0.03352808358, 0.03598063607, 0.006537873683, 0.0110655913, 0.01960658345, 0.00590453973, 0.2895095074, 0.2186082655, 0.2717841969, 0.2850781798, 0.01533608737, 0.04703021675, 1
510, 0.01922686349, 0.4029607229, 0.2963820372, 0.1257677833, 0.05307023956, 0.08820914588, 0.0602024864, 0.06572779953, 0.05216441249, 0.1092452736, 0.004315185184, 0.03038176266, 0.03519444339, 0.008154160372, 0.009741495334, 0.01767169675, 0.005643241688, 0.29222619, 0.2205804529, 0.2743147558, 0.2877483315, 0.01370659604, 0.05787249859, 1
520, 0.01939600933, 0.3463767237, 0.3946100769, 0.1357524459, 0.06185057833, 0.09529304981, 0.06048729305, 0.08340004309, 0.06846667772, 0.1721183135, 0.005657178867, 0.02732387721, 0.033711827, 0.01208698407, 0.01173475845, 0.01545144118, 0.005770916084, 0.264033431, 0.1994678023, 0.2478920238, 0.2599980792, 0.01359309981, 0.0788318413, 1
530, 0.01954184359, 0.2791246598, 0.3558822807, 0.1525030513, 0.09053128089, 0.1024323469, 0.05852595069, 0.08766079943, 0.09262801897, 0.2727871823, 0.00726152821, 0.02482319348, 0.03077945149, 0.01884646394, 0.01752177425, 0.01339604089, 0.005810241284, 0.2149678989, 0.1626784845, 0.2018955453, 0.2116998105, 0.01545890757, 0.1106439353, 1
540, 0.01978730657, 0.2078703057, 0.3140965591, 0.2067539757, 0.1141715489, 0.1089591911, 0.06429535806, 0.08265037526, 0.1039292595, 0.3331317594, 0.008835817061, 0.02449851082, 0.02821455765, 0.02884196604, 0.02791453643, 0.01348115474, 0.006091103731, 0.1958739211, 0.1484282168, 0.184012495, 0.1929085646, 0.02069784559, 0.1268495095, 1
550, 0.02009670072, 0.1628183872, 0.2623960979, 0.2901488907, 0.1458648978, 0.1198828513, 0.08116733437, 0.100029251, 0.104261711, 0.3580848555, 0.01028847529, 0.02535066798, 0.02668380062, 0.0438824272, 0.04561650106, 0.01601873935, 0.006736517079, 0.2125022023, 0.161060781, 0.199641847, 0.2092871135, 0.0308176202, 0.1296440254, 1
560, 0.02024138989, 0.1416905532, 0.2066815847, 0.2655404703, 0.2174288636, 0.1497239828, 0.1018854856, 0.1303788637, 0.1158982833, 0.4150488564, 0.01121205642, 0.02590800862, 0.02614502212, 0.06517111958, 0.07247262598, 0.02077217898, 0.008384411926, 0.2505194651, 0.1899857018, 0.2353860243, 0.2467361049, 0.04662240248, 0.1458133406, 1
570, 0.0205466012, 0.1307265977, 0.1595721564, 0.2600940607, 0.1851318073, 0.2259294941, 0.1273619687, 0.1325284023, 0.1208148604, 0.4972840628, 0.01247007692, 0.02759595214, 0.02649665428, 0.09641025316, 0.1139743533, 0.02849365453, 0.01078159629, 0.2858167847, 0.2170579876, 0.2686270855, 0.2815193599, 0.0712340039, 0.1584617806, 1
580, 0.02082135256, 0.1233924499, 0.1352222795, 0.2387166895, 0.1608173782, 0.3176646501, 0.1760440085, 0.1062088837, 0.0914399429, 0.4712703332, 0.01349792224, 0.03024298346, 0.02720546582, 0.1252572742, 0.1616780737, 0.04005934336, 0.01297866319, 0.2943811385, 0.2240305196, 0.2767934838, 0.2899842248, 0.1008687085, 0.1294229819, 1
590, 0.02087859767, 0.1208928847, 0.1282308497, 0.2033447649, 0.1393139724, 0.3583471582, 0.3196533077, 0.07992103724, 0.05817732463, 0.3534738616, 0.01427991865, 0.03280043448, 0.02825805449, 0.1459033586, 0.2063723365, 0.05627354363, 0.01987597322, 0.2831093195, 0.2173009829, 0.2666572354, 0.2789962985, 0.1313229401, 0.08770697833, 1
600, 0.02131798084, 0.1211759643, 0.126393019, 0.1661894087, 0.1244331435, 0.3470649724, 0.3401770403, 0.06459314383, 0.03861706241, 0.2536054851, 0.01520003521, 0.03450240219, 0.0295561079, 0.1731770382, 0.2703841692, 0.08355884014, 0.03162669798, 0.3047921741, 0.2365008051, 0.2877193318, 0.3005239635, 0.1769715047, 0.06011590467, 1
610, 0.02144070551, 0.1234738118, 0.1256184852, 0.1469437974, 0.1496538198, 0.3063658589, 0.2930860271, 0.05891574193, 0.03278896233, 0.2238345799, 0.01584976202, 0.03555604585, 0.03080162899, 0.2006489666, 0.3456471358, 0.1226006666, 0.04963326552, 0.3228233928, 0.254525861, 0.3057490099, 0.3185547971, 0.2341239012, 0.05189352409, 1
620, 0.02177030847, 0.1234629472, 0.1234650397, 0.1394643756, 0.1628155399, 0.2603741908, 0.2479746375, 0.06085089338, 0.03628589111, 0.258416403, 0.01617994287, 0.03741956616, 0.03182196494, 0.2136309035, 0.404663331, 0.1677478786, 0.06630974701, 0.3341485208, 0.2671888273, 0.3174085974, 0.3299635399, 0.2862056048, 0.0584989423, 1
630, 0.02193331145, 0.1175676337, 0.1158743355, 0.1325482984, 0.163628007, 0.2256053268, 0.2147743937, 0.06587308914, 0.04471161673, 0.2999832706, 0.01609362794, 0.0405997559, 0.03316885819, 0.1976662836, 0.4478133461, 0.2123932438, 0.08212107557, 0.2982732505, 0.2442352068, 0.2847637396, 0.2948958728, 0.330103295, 0.07023878212, 1
640, 0.02219825794, 0.1146134636, 0.1083510728, 0.1295178176, 0.1626105803, 0.2026081738, 0.20172858, 0.07137297265, 0.05456871132, 0.267944668, 0.01613361164, 0.04461986678, 0.0352839606, 0.1704931042, 0.4849811021, 0.269348793, 0.09694956058, 0.2962826581, 0.2464493837, 0.2838243395, 0.2931680785, 0.3771649476, 0.07590630698, 1
650, 0.02248423478, 0.1203871906, 0.1080737031, 0.1343670108, 0.1713389037, 0.1861186405, 0.1987620457, 0.07649366771, 0.06394359897, 0.193133592, 0.01536233901, 0.04822892706, 0.03804605291, 0.1452633728, 0.4843219576, 0.3534672927, 0.1135386521, 0.3239397209, 0.2713394537, 0.3107896541, 0.3206522042, 0.4188946251, 0.07686259828, 1
660, 0.02267209294, 0.1075111819, 0.09753676138, 0.1201633298, 0.1580811323, 0.1716423056, 0.1943197837, 0.08032369702, 0.07112576971, 0.1300759464, 0.01452355887, 0.05114094665, 0.04216644964, 0.1302378579, 0.4544165659, 0.4190772232, 0.1269693205, 0.2688727487, 0.2333968916, 0.2600037844, 0.2666555076, 0.4367468946, 0.07702078738, 1
670, 0.02307451659, 0.1074977247, 0.09621087746, 0.1219326069, 0.150220696, 0.1638883879, 0.2015086639, 0.08360584085, 0.07738801649, 0.09003284764, 0.01350734195, 0.05410667527, 0.0477481295, 0.1286990184, 0.4359199982, 0.4128654535, 0.1349043501, 0.2599128747, 0.2286607435, 0.2520998419, 0.2579596165, 0.4243927258, 0.0786524996, 1
680, 0.02330496778, 0.1158521786, 0.09761863301, 0.1225780697, 0.1430676626, 0.1598050664, 0.2198427836, 0.08642005805, 0.08247568541, 0.06491437759, 0.01207431288, 0.06026301433, 0.05246919546, 0.1445398715, 0.4492965647, 0.3688284917, 0.1346312758, 0.2536907929, 0.2239259136, 0.2462495731, 0.251830488, 0.4090625282, 0.08071955463, 1
690, 0.02367392214, 0.1195517164, 0.09714472486, 0.1213477185, 0.1324451661, 0.1583585412, 0.2412152999, 0.0898871389, 0.08758827132, 0.05276799632, 0.01076967065, 0.07586759187, 0.05704812571, 0.1721809753, 0.4978967849, 0.3231659127, 0.1299049859, 0.2378084716, 0.2108326001, 0.2310645037, 0.2361224796, 0.4105313488, 0.08410624382, 1
700, 0.02386844555, 0.1224499705, 0.09537758778, 0.1231902148, 0.1286491883, 0.1480488181, 0.2570461501, 0.09263590212, 0.09169059665, 0.04339791975, 0.009584382754, 0.09222787686, 0.06019584333, 0.1893138504, 0.600379366, 0.2889300234, 0.1213095254, 0.2278275425, 0.2011980382, 0.2211701664, 0.2261631984, 0.4446546947, 0.08686132896, 1
710, 0.02424679247, 0.1206486604, 0.09158518086, 0.1204100465, 0.1247806463, 0.1462494185, 0.286498657, 0.09826969897, 0.09823623356, 0.04572691351, 0.008821281009, 0.1016086423, 0.06379404793, 0.1922765727, 0.7673736417, 0.2712701707, 0.1147182095, 0.2045973112, 0.1821275358, 0.1989798673, 0.2031929502, 0.5193219062, 0.09298530155, 1
720, 0.02453380613, 0.1134081478, 0.08515835603, 0.1134370946, 0.1208576661, 0.1340185267, 0.2749893276, 0.1024636495, 0.1021642805, 0.07830122899, 0.008707217896, 0.1020812598, 0.06694237736, 0.1863521752, 0.8807428906, 0.2848264896, 0.1138424881, 0.1800870477, 0.1635259078, 0.1759467627, 0.1790519764, 0.5827846901, 0.09977797534, 1
730, 0.02479839143, 0.1017501808, 0.07863523409, 0.1023057592, 0.1148379289, 0.1278421742, 0.242950274, 0.1074638665, 0.1065428697, 0.1068712978, 0.009196247343, 0.1021038138, 0.06941494972, 0.1777978059, 0.858870398, 0.3066948607, 0.1140829809, 0.1560583895, 0.1455645374, 0.1534349265, 0.1554025238, 0.5827826294, 0.1065757125, 1
740, 0.02515728629, 0.09016986468, 0.07139255672, 0.09296702696, 0.1114045186, 0.11805768, 0.1864047995, 0.1115596839, 0.1091712447, 0.07170444589, 0.01055082226, 0.101917177, 0.07015251928, 0.1574041891, 0.6980948014, 0.2979332455, 0.1129857519, 0.1426601168, 0.1352415256, 0.140805469, 0.1421964549, 0.4980140234, 0.1054245649, 1
750, 0.0256406548, 0.06628834627, 0.05850565193, 0.07304948321, 0.07296234464, 0.09732985815, 0.1250176458, 0.1148485538, 0.1109112649, 0.06256236095, 0.01210047771, 0.1008241466, 0.06957236403, 0.1315736708, 0.5164441631, 0.26850376, 0.108900985, 0.1080101638, 0.1082328691, 0.1080658402, 0.1080240829, 0.3924739616, 0.1060763745, 1
