A,burntumber,rawumber,vanDykeBrown,burntsienna,rawsienna,redochre,redlead,cadmiumred,alizarin,madderlake,lacdye,carminelake,vermilion,realgar,yellowlakeres,massicot,yellowochre,gamboge,naplesyellow,leadTinYellow..II,leadTinYellow..I,saffron,orpiment,cobaltyellow,cadmiumyellow,chromegreen,cobaltgreen,cadmiumgreen,greenearth,viridian,phthalogreen,verdigris,malachite,bluebice,cobaltblue,azurite,egyptianBlue,ultramarine,phthaloblue,smalt,indigo,mayablue,prussianblue,cobaltviolet,ivoryblack,vineblack,boneblack,lampblack,gypsum,chalk,leadwhite,zincwhite,titaniumwhite,lithopone,eggtempera
360.1690084,23.88941327,27.99074384,29.19952501,54.52607862,55.64656091,48.54002375,64.03799896,75.46204671,51.08546722,36.63185458,36.75973571,63.0728009,46.49088086,65.41119873,30.70060591,46.00066985,62.36640989,48.31166459,60.19243065,70.61169808,40.35867613,57.98495874,42.62095424,61.86706452,61.69655634,49.93453704,24.77544682,44.57266389,37.8284566,51.89233627,61.94622903,33.76975307,38.02332308,55.41211217,73.28197789,41.88411534,32.41482203,45.62616083,50.82970496,55.98453247,45.32168194,47.00849496,55.39079865,52.05675486,33.01769022,40.40434796,26.37396097,43.41868891,74.47553512,71.39420881,134.7349511,99.09265292,60.2076546,82.55031514,74.01577201
360.3884707,23.46460454,26.7488729,25.99349118,51.25548622,56.85665661,48.18021676,60.00059714,71.47463649,46.13501329,41.39372406,37.5212731,61.65467411,45.7050727,59.71695578,32.23957245,42.42976144,61.85471591,44.42420804,61.39193264,70.13405786,36.62556355,60.54697997,44.93774819,59.30791509,61.70244529,50.24632013,29.02994656,46.34699788,41.09216851,50.76881736,62.49066969,33.38608067,43.107515,57.20896904,73.56761114,41.18771086,32.79491237,44.89594841,50.27020571,57.38213955,54.72785358,47.72639059,55.36380736,49.26103962,31.25130624,43.85095393,28.07452303,45.75881527,73.03018541,74.00650882,132.0813304,92.08491327,63.03705252,75.47547249,72.77341534
360.6079162,20.25387518,20.35991641,28.6124193,53.82528148,57.04082587,47.04488039,59.59517201,73.40548296,46.00318124,45.6725821,33.64002121,62.74210149,51.06820946,59.90705798,33.79908306,43.59230265,60.76162555,46.68933038,58.57530487,65.07188972,37.44814896,58.54411627,43.77943424,55.4658017,66.31943362,47.58132427,32.47356766,45.94080404,46.08739045,50.76256121,65.27773446,36.45635156,43.16501887,54.61123413,72.99691233,39.01069769,32.18975143,46.61447775,48.78208527,53.21086611,53.31690734,49.65224714,54.38667623,49.67407916,31.99638212,46.09050931,25.92084334,46.82656021,77.34148395,74.95555625,133.3094221,93.63752612,65.56466956,74.90877335,78.61397873
360.8273447,44.88137371,43.20356534,52.25783196,74.61659457,78.1655525,68.47227684,80.33818325,98.81046009,67.59077205,72.05728143,56.04928562,87.64910211,72.74216804,86.41696159,59.45405689,69.10473194,86.29243675,70.78254031,80.54463232,90.35260191,62.5639009,78.46703369,68.36413685,76.46808232,94.6454319,68.82291257,55.84611351,69.10145497,69.08507013,74.55105518,91.59129637,59.8604011,67.29256783,78.29663128,97.1883602,65.39847949,56.27211954,72.40791716,68.03971687,76.91047319,76.38288111,72.70284441,81.17053349,76.38943505,56.62275528,72.28339232,50.28181937,66.70926727,105.1612269,101.6745314,159.7915847,121.7721851,90.9981649,106.4818456,104.1125967
361.0467563,47.96305626,44.27875735,47.40218304,77.78337531,82.11922754,70.91855584,85.21914358,101.0512175,65.29974811,71.2308984,53.55835432,86.86146096,75.4256927,86.55919395,63.46599496,72.83291352,89.92443325,71.19059614,82.1125105,88.58438287,62.94206549,77.71284635,71.50629723,75.00923594,98.83459278,70.97229219,54.92191436,71.65071369,71.41561713,77.67254408,94.17632242,58.94878254,72.37279597,79.89588581,95.89588581,65.67254408,56.75566751,69.93115029,68.51049538,76.16120907,73.131822,69.7968094,76.64147775,77.98488665,58.2938707,76.70193115,53.06129303,60.4231738,107.8219983,101.3232578,162.938707,121.5281276,88.28547439,102.8883291,106.9219144
361.2661509,47.41616827,46.56945098,48.60224447,79.43350581,83.68389221,71.43001142,86.82884215,101.7505544,68.77897991,74.23224246,55.63470197,82.44405618,78.25414959,80.52550232,61.92124185,67.27370472,90.18211142,71.04697265,84.1576507,88.79779585,64.84779249,78.70774814,75.73079766,77.88119078,98.48464485,69.998656,53.02399032,69.76009677,74.32968215,87.57811975,96.92560984,64.30347423,69.87097641,77.65943149,89.29843425,62.9057187,53.32974934,70.61689403,68.32202137,82.22229689,71.50393119,67.2501848,74.57832135,74.30616222,60.11020765,75.20663934,54.56958538,63.33243734,114.7705127,102.0227135,167.6399436,118.6546603,89.32867415,105.947181,106.881258
361.4855286,47.50845262,46.87648118,50.39024236,74.08601131,89.29756375,72.47448415,85.97023415,97.82601826,68.25607483,81.10721395,64.06926407,82.25740197,81.72654596,81.23360824,62.17650962,68.7300534,84.93380099,71.00515057,79.10386451,88.60239517,61.3960249,71.96574715,82.02357253,77.51445635,97.30148197,70.4711347,57.09545929,63.26350049,71.62764243,83.10108383,93.20630707,63.38989478,64.18933864,75.37523304,85.70480614,69.05867855,51.2212848,69.24511012,69.18191298,87.71763516,73.57095459,68.33823111,75.39419218,76.32950991,62.85587891,78.94271179,50.57983379,66.91313553,114.999842,99.72509243,160.2015989,117.8721522,84.78844756,108.0576358,102.8154327
361.7048893,50.93072465,50.03833298,49.70100279,77.99993867,89.85249471,71.69186421,89.85249471,93.70419209,69.79054862,82.34229814,62.09942041,81.70443743,81.18924223,77.60127572,64.0498022,72.44319053,82.82682695,76.12622282,77.36821123,89.33729952,64.60793033,75.38409642,85.66346714,78.6960655,99.6933362,70.50507529,56.68680426,62.67288172,67.24217241,85.79226594,66.178049,66.50311264,65.76405287,74.70636941,83.77441811,68.69575884,53.73669846,69.39495231,67.42003741,83.85415069,68.96868963,73.01971848,73.84771075,75.71222669,65.06792603,76.4144868,51.59925174,64.18166764,112.3646846,98.77641142,127.1305468,82.86055997,81.01137723,111.7666902,102.7722408
361.9242332,49.00202398,48.37926203,50.74887124,73.16830142,89.57496497,70.36587265,93.21812237,92.06912658,61.59427059,81.98972443,58.07566558,83.24458976,83.40962167,68.22979916,60.46084384,70.72396077,82.0769111,73.04686284,69.57185116,85.57060564,67.62572007,78.20333178,88.31698583,78.77315896,97.86704032,70.86096839,61.04001246,64.1226841,68.47890394,86.70714619,64.84820177,71.12875603,70.05449167,68.89304064,84.82017749,62.22326016,52.98458664,67.42643624,68.21423011,83.68675074,67.51985054,74.26436245,70.8952203,75.09574965,59.59209092,75.44449634,52.27152421,59.42083139,112.3120037,104.6271213,131.7982251,79.64191188,82.17655301,116.0765997,103.4625564
362.14356,56.28736678,47.86521965,56.16714323,79.13958929,96.00662854,74.22991942,91.14894723,91.17494151,60.85261243,84.5009098,60.7713803,78.5027294,81.08266181,67.60787627,61.35950091,74.81479075,82.3108916,76.52066545,72.93670393,87.81518066,71.66623343,78.73342865,90.80777229,86.12880166,93.71913179,68.95957889,62.47075643,66.0677151,72.89446322,84.94606187,65.85326228,74.60358721,69.55419808,70.41200936,82.76579153,62.43826358,51.95282038,69.177281,68.94333247,88.51052768,66.5291136,77.74889524,65.27813881,71.85794125,58.38315571,77.12178321,53.23628802,59.8940733,109.8485833,106.095659,135.4626982,85.26124253,86.38549519,117.9165584,107.7527944
362.36287,59.31211364,48.30987768,57.22412206,78.67618046,95.7878469,74.51992634,92.28265158,91.58227016,64.35946337,88.7182691,60.60107852,77.13402604,77.05182165,67.64763909,62.82059713,73.01723004,74.74681047,78.97540445,69.62054452,87.66934105,75.13152703,75.95685913,88.68867552,87.80086808,92.70353808,69.99868473,64.11613837,70.27817967,74.62185979,84.21018019,65.61554649,71.43561752,72.52400368,72.28067868,85.59450217,60.49256872,58.04616599,63.59331843,65.32289886,92.51940024,61.29817177,76.92687097,66.40142049,73.23096146,58.9109562,75.95028278,48.18821518,57.23398658,112.5312377,112.1958437,137.2977772,83.24674471,92.54899382,117.4043141,107.9738261
362.582163,56.21958637,46.41499392,52.5205292,73.71502433,105.7557786,76.37241484,90.87971411,91.65145985,69.27083333,92.73874696,56.47430049,80.87743309,73.76444647,72.97369221,65.56417275,73.7948601,78.3645073,82.06736618,70.65845499,81.98753041,81.92290146,72.84443431,90.92533455,95.08819951,91.90997567,62.89157543,70.47217153,71.56706204,71.94343066,88.36678832,60.29501217,76.95787713,71.49482968,77.24300487,88.83059611,57.28786496,61.52676399,59.09367397,69.89051095,93.92107664,69.48753041,74.70726886,64.11952555,72.50988443,60.54972628,89.19555961,50.27752433,62.36694039,120.3695255,120.9701946,148.9051095,86.31386861,98.25501825,123.0383212,109.6145073
362.8014391,55.53514488,46.0557327,56.98391793,70.58436157,97.18217108,75.89075281,87.99043394,86.71149314,70.49771246,84.27838625,57.74989602,81.21447387,73.01746846,71.5305698,65.90184389,74.12657701,73.74185498,85.58852073,68.51864689,80.15388881,87.79980591,71.05226674,88.88811867,89.79966727,91.182587,61.84319978,69.43019548,68.04034382,70.77152364,81.37390822,59.79134895,80.75003466,72.43518647,73.75571884,84.86066824,57.68057674,57.30971856,59.50713989,67.14265909,89.99722723,65.60377097,77.7519756,62.64730348,73.90128934,61.60058228,83.48121447,46.51323998,56.588798,114.0198253,109.9715791,139.53972,85.85539997,92.41647026,121.7697213,107.6389852
363.0206983,58.32134293,50.24323398,52.22679,65.84789311,94.58718739,76.25899281,87.3723878,84.95032545,70.97293594,79.87324426,64.65227818,82.27817746,65.00171292,65.31346351,63.57999315,79.36964714,72.53168893,85.17643028,69.55121617,85.01541624,85.40253511,71.92189106,87.59164097,87.60191847,84.73792395,65.17985612,68.93799246,68.54402193,68.83864337,77.22507708,57.09489551,74.15895855,75.15930113,73.34703666,84.76875642,60.39739637,60.11990408,53.69647139,68.41384036,97.105173,59.36622131,76.27269613,61.38746146,77.18739294,58.97225077,83.98424118,45.17300445,51.96985269,105.5292909,114.1760877,141.17506,90.29462145,91.88078109,124.7242206,108.4857828
363.2399405,28.7506656,26.8736688,23.69542066,39.78301384,66.40375399,50.32947284,62.46671991,62.88272098,46.66533546,57.3449148,38.57827476,54.22989883,41.29725772,40.30218317,38.3586262,55.21166134,49.39097444,61.328541,48.26943557,61.25865282,61.85103834,46.50559105,62.16054313,56.7192492,58.91240682,38.52835463,40.75146432,44.13272098,43.42385517,54.685836,31.10689563,45.0013312,51.07827476,48.58226837,61.06230032,31.45966454,33.05045261,29.14669862,46.64536741,70.92651757,29.7657082,57.30830671,37.22377529,49.71711928,32.32494675,56.88232162,13.72803514,26.86368477,74.30777423,84.09211928,116.809771,64.1806443,68.87979233,95.16107561,85.3134984
363.4591658,26.53988556,20.65971054,26.50286099,36.21003029,63.7462134,49.63312016,61.16459105,61.41029956,46.32110401,60.62268596,38.53584652,54.015483,40.41063615,41.37327499,33.93806799,54.04577583,45.35846516,61.19488388,45.75563783,64.05587344,62.16088859,46.46583642,61.11746887,55.43924605,54.63816897,41.24200606,40.99629754,43.01581959,40.81117469,50.84483339,32.42342646,47.61359812,45.22719623,45.32817233,59.65668125,26.4792999,28.96331202,28.16560081,46.78222821,66.83271626,29.88556042,56.6475934,36.55334904,49.84516998,35.31807472,52.19118142,11.25883541,27.16930326,77.90979468,85.66139347,118.8387748,63.68562773,67.78189162,98.43150454,89.04072703
363.6783742,27.5177305,23.11741529,27.19621749,34.07407407,59.53349094,50.08668243,60.39401103,55.13317573,47.10795902,52.96138692,41.98896769,61.68951931,42.10559496,42.10559496,35.88022065,54.17809299,45.55082742,57.84081954,44.20173365,64.41292356,62.31048069,45.76832151,62.11189913,48.47596533,55.22458629,47.22773838,37.4499606,41.92277384,39.53033885,47.16469661,32.90464933,49.38376675,44.48542159,48.3498818,57.42474389,30.53427896,29.99211978,31.17100079,48.89204098,65.08747045,31.79826635,53.7462569,40.9929078,50.85894405,36.80378251,49.57289204,20.25531915,25.48463357,74.68242711,83.41686367,115.7163121,67.18045705,71.83609141,97.83451537,88.95823483
363.8975656,23.33671915,18.9055358,24.29215338,35.09713052,50.33646521,46.18778568,61.89055358,55.43740477,43.6420772,49.41277298,34.03059929,58.07833926,32.24987303,35.46851193,31.01510919,49.35881158,43.14690198,57.62760284,44.30548502,63.54431183,60.35424073,42.99454038,55.16124937,43.7404774,47.15274251,43.6801676,33.21482986,44.23882682,41.12811072,47.78440833,33.96076689,44.98476384,45.82910107,46.25444388,52.91708989,19.60703403,26.15858304,25.90147283,43.12785678,53.78364652,25.99669883,47.19083291,37.85551041,52.49492128,35.28758253,44.18486541,22.99707974,13.90299644,68.10881158,86.02399695,114.3410361,64.35055866,69.12138141,93.28021838,87.6015744
