A,burntumbe,rawumber,vandyke,burntsien,rawsienna,redochre,redlead,cadmiumre,alizarin,madderlak,lacdye,carminelak,vermilion,realgar,ylakeres,massicot,yellowoch,gamboge,naplesyel,leadtinII,leadtinI,saffron,orpiment,cobaltyel,cadmiumye,chromegre,cobaltgre,cadmiumgr,greenearth,viridian,phthalogre,verdigris,malachite,bluebice,cobaltblu,azurite,egyptian,ultramarin,phtaloblue,smalt,indigo,mayablue,prussianbl,cobaltvio,ivoryblac,vineblack,boneblack,lampblack,gypsum,chalk,leadwhite,zincwhite,titaniumw,lithopone,cardboard,Gumarabic
360.1690084,47.90975246,34.89632494,20.99686387,30.29869379,38.39174253,41.49742715,48.10461894,56.23724995,45.6322504,30.79499437,42.33778887,23.54230734,35.94677709,32.34479189,40.76363304,31.61099778,35.09119143,39.78930061,34.48527845,34.06814237,35.645343,42.70620832,55.71050148,41.19294827,40.79103614,26.01163109,19.40139451,30.80412873,26.06034771,38.27299577,43.00155284,70.28286088,37.5544256,20.99990866,56.25247389,22.58624364,11.13174801,32.11947751,25.74064489,68.87312365,22.09907743,31.87284962,30.59708309,58.62131961,17.04777274,28.10949061,28.50226837,20.05297933,71.29068599,34.09554547,106.2813994,57.75051,35.58749201,77.05751606,126.0664373,122.826782
360.3884707,44.26298032,35.84928194,20.08479384,26.76081569,33.26068134,41.42955244,49.18938286,59.64828472,46.84262383,27.59681127,43.61209805,25.10375302,39.7127758,33.11438211,44.55259308,31.89024572,36.35087929,37.07640402,32.65159884,35.46412683,37.1271609,40.67417072,57.07461261,41.5191234,41.20263936,30.24214015,19.25775535,35.56265488,25.63222166,41.29519601,39.9158033,69.73397426,32.28435793,15.93467292,61.17696235,25.29185203,17.12596662,32.38885737,26.63840205,70.13704356,24.3483713,29.70172872,33.5353656,57.79416595,15.63013167,30.28095423,28.60896307,21.52688622,69.8683307,38.40205416,107.2851044,60.70522199,43.74645448,74.59170573,126.8414296,118.1142328
360.6079162,42.62857499,35.58307083,18.02077161,27.75161401,30.93285095,40.43913545,50.12631382,60.24077597,47.06671241,22.54311824,45.59772947,21.19577083,38.03761345,33.17219225,40.74166485,32.70436328,39.22901787,34.99984406,28.39098026,30.3558619,37.64775598,37.4606244,67.36425163,42.88432149,37.03957833,31.22602377,12.7374232,33.49967252,24.34270031,38.43370864,36.01971119,72.3170009,28.29117675,17.37516764,65.28397218,28.04166797,16.71396937,31.27904438,27.98864735,73.30567944,21.54196426,26.24208589,29.07089168,56.92542806,9.840002495,26.52278327,25.70876088,18.91900321,73.91697595,38.73623803,111.8267162,61.99357515,43.7513645,74.43158781,127.1871004,118.6383058
360.8273447,61.95766155,62.18049548,42.32206056,53.31301612,52.99187312,62.76707301,68.64267925,84.55236597,69.21942587,46.60505964,44.28824223,23.88910735,41.201337,35.23725259,40.46401888,33.12688426,44.37016647,35.96473981,36.56114825,33.85437148,37.21326517,43.06593263,67.07301088,48.72198191,38.53388386,29.14536637,14.23515533,35.24052956,26.42875868,40.46729584,36.695504,75.30148119,31.55721589,12.54751606,70.25494822,24.81976668,17.60387993,31.20330319,32.47476734,73.44343951,30.472539,28.12622886,29.56481846,59.68344475,14.51369773,28.33595491,25.86184297,22.34893171,72.76510683,44.57661555,117.6235417,65.60492856,51.67780836,80.29230568,132.9958055,125.6750557
361.0467563,61.0109152,60.97732997,41.93450882,53.32997481,57.41057935,62.6263644,62.18639798,80.45675903,72.03358522,49.11838791,42.94542401,22.51889169,36.15785055,35.9395466,36.49370277,28.40638119,41.89420655,31.48950462,35.6372796,35.96305626,33.81696054,41.51805206,68.04366079,43.99664148,41.32661629,28.16792611,12.31905961,29.9177162,27.39210747,38.76742233,38.17632242,73.24601175,22.34424853,11.02602855,68.33585223,19.10663308,17.736356,29.18555835,28.74223342,73.30646516,24.55079765,27.64735516,28.46683459,59.24769102,17.1015953,28.42989085,22.05205709,19.71788413,76.80268682,44.85642317,120.2015113,65.0109152,55.93282955,79.32157851,135.1267842,128.2350966
361.2661509,60.16396748,56.67965863,36.1870842,52.96015053,58.87709159,63.78939587,59.94220818,79.35622606,69.57529736,47.13056918,45.62865399,20.3447349,35.82420536,40.0611518,32.62213561,28.85558766,43.44130099,31.54693905,33.29413346,37.94435858,31.82245817,48.13184598,71.04361266,46.46193132,41.43202742,25.73415765,14.07163497,35.39076675,27.70983133,39.61427323,41.38162758,74.63208118,19.51481755,7.711175324,66.70586654,18.24138163,17.0015456,29.76614475,26.00295679,73.95000336,25.91559707,30.76070157,31.6242188,60.05980781,17.02170553,33.55285263,23.11000605,20.4690545,86.35844365,42.5609838,120.9092131,59.66668907,60.23788724,81.93333781,133.2638936,129.0336671
361.4855286,58.59323159,53.38578696,37.85192909,50.25752836,62.14807091,63.68692135,60.19211932,74.05441274,72.94846273,45.96644232,41.92498499,20.20096692,37.05880494,39.15379025,30.55581888,32.31269947,43.40063829,35.87069864,34.92590135,37.6149398,28.65358486,41.23929598,67.63358296,41.10658198,42.29152842,30.60953645,20.2167662,38.99263753,28.48295257,37.4601068,42.69599014,70.39213828,21.84409265,0.227509717,66.01889595,21.67346036,21.69873922,27.25376813,33.98426391,71.35273486,26.95990141,31.5574936,36.72386008,57.50940058,18.7189939,38.8251651,29.9491263,26.72607198,80.68063324,44.09264701,122.0874016,54.46961797,61.12743704,84.44718299,127.6677094,128.3312794
361.7048893,67.38937103,51.61151829,43.59225981,50.64859395,62.86607992,65.71498666,69.26002024,80.48084885,73.7066454,47.87941979,44.83424821,19.64488331,37.83924683,38.71630531,30.53144837,35.26633751,41.44254654,34.6928762,38.63963936,40.29255727,33.50915391,41.29841455,70.18307829,46.27250146,40.2465577,33.49382072,27.47401024,42.18773958,35.21727131,36.75365697,35.09767242,38.41577479,27.21947928,5.283817351,66.10444969,26.85454936,30.58664786,33.98448281,37.56631605,47.1219602,34.2175473,30.82584563,37.5540495,61.35422736,19.16342114,46.56996535,31.29810788,36.02379711,82.88509307,50.04753289,125.0237664,57.4074642,59.80250851,86.81958968,124.3797725,98.19375019
361.9242332,65.10664798,47.62883388,36.28833878,52.03487467,61.20193056,60.28958431,69.394364,77.67087031,74.47610151,53.23057761,40.46395765,12.45835279,34.04950957,35.38533396,34.19897244,38.15662463,38.96310135,32.95967616,35.02413203,36.01432352,28.76226063,42.13607349,67.29565624,42.81488401,39.32741709,32.34936945,30.04203643,40.36742955,35.83995018,35.78078779,30.86096839,41.5973844,24.23789506,2.936322591,63.27572785,26.29612331,29.43795734,33.00949712,34.42005293,44.60843842,29.80538689,27.17110385,32.90985521,59.34298614,17.59613888,40.40479527,28.3387825,36.82080025,80.31449478,44.38113031,126.90643,53.31153667,61.45103534,83.09512689,123.6213607,93.59177954
362.14356,63.50402911,43.61840395,43.40070185,47.41356901,62.13283078,63.03938134,76.00402911,77.33298674,75.51988563,57.19391734,38.08487133,10.97283598,36.08006239,36.03782168,29.47751495,39.7322589,36.56095659,32.53509228,31.56355602,36.44073304,24.31115155,42.87106836,70.56147648,46.74746556,37.32128932,32.15167663,30.88445542,40.4763452,31.35885105,31.97296595,30.72524045,40.70379517,25.20795425,7.96399792,67.16922277,21.695477,30.8877047,35.3327268,31.69352742,43.84585391,33.00298934,25.94554198,28.21679231,58.67234208,14.81349103,39.41707824,24.50285937,35.25474396,84.82258903,40.73628802,137.0321029,55.08188199,63.19534702,86.54146088,124.2266701,90.39836236
