A,burntumber,rawumber,vanDykeBrown,burntsienna,rawsSenna,redochre,redlead,cadmiumred,alizarin,madderLake,lacdye,carminelake,vermilion,realgar,ylakereseda,massicot,yellowochre,gamboge,naplesYellow,leadtinYellow..II,leadtinyellow..I,saffron,orpiment,cobaltyellow,cadmiumyellow,chromegreen,cobaltgreen,cadmiumgreen,greenearth,viridian,phthalogreen,verdigris,malachite,bluebice,cobaltblue,azurite,egyptianblue,ultramarine,phthaloblue,smalt,indigo,mayablue,prussianblue,cobaltviolet,ivoryblack,vineblack,boneblack,lampblack,gypsum,chalk,leadwhite,zincwhite,titaniumwhite,lithopone
360.17,15.11,15.98,13.906,16.314,18.005,12.981,24.057,16.769,16.099,18.747,13.954,16.594,22.67,28.227,21.418,27.302,14.281,21.394,24.488,25.612,26.68,30.221,27.462,26.274,24.894,11.722,15.844,15.828,8.155,23.013,8.907,11.73,11.809,13.994,46.488,14.768,13.125,12.83,10.35,27.111,12.336,10.374,10.741,39.231,9.975,11.929,7.416,11.618,32.349,30.923,106.044,28.347,25.692,69.994
360.39,14.88,16.26,15.135,15.757,18.119,14.082,23.831,16.044,16.802,19.571,13.396,16.451,22.379,28.052,20.145,27.453,14.544,20.424,23.289,24.98,27.621,31.61,26.177,27.206,23.345,11.744,15.757,17.113,8.174,22.339,9.159,10.93,11.72,15.366,46.737,15.637,15.223,13.747,11.146,28.674,12.366,10.739,10.906,39.971,9.127,12.366,8.872,12.183,33.424,30.9,107.228,27.054,26.193,71.302
360.61,16.052,17.057,15.805,16.477,18.89,15.263,24.604,17.854,18.039,21.109,13.779,17.908,24.178,29.181,19.539,28.508,15.209,21.882,25.083,25.563,27.689,33.256,26.483,27.101,23.498,13.377,16.771,16.902,6.93,21.874,10.114,11.985,12.132,16.408,48.233,15.511,15.109,15.673,12.843,29.158,12.58,12.82,12.665,40.841,9.998,13.098,8.266,11.954,34.382,32.467,106.023,27.441,26.127,71.53
360.83,15.669,15.622,16.26,16.136,19.29,15.707,25.668,18.192,18.223,21.081,14.072,17.499,22.856,27.965,19.196,27.584,13.862,20.73,25.434,24.593,27.607,33.541,26.065,26.82,23.456,13.574,16.338,16.338,7.169,21.104,10.599,11.502,12.382,17.467,50.323,15.155,15.482,15.824,12.522,29.756,12.515,13.083,12.335,41.57,10.786,13.838,7.453,10.646,33.951,33.206,107.336,27.622,25.683,71.622
361.05,16.015,16.432,16.695,16.324,19.414,16.54,25.919,19.484,19.523,21.091,15.189,17.066,22.79,28.044,19.754,26.622,15.451,22.227,24.961,25.077,27.727,33.375,26.089,27.001,24.629,14.532,16.71,17.885,6.327,20.643,10.615,11.828,12.492,18.433,50.348,15.621,15.559,17.46,13.226,31.242,12.855,13.404,13.589,41.664,10.901,13.898,8.552,9.966,33.554,32.679,108.568,28.26,26.422,72.52
361.27,18.015,17.163,17.786,17.171,20.691,18.682,27.22,22.351,21.825,21.78,18.023,19.431,24.218,28.524,20.995,28.064,16.378,25.041,25.263,26.819,28.613,35.445,26.79,28.383,25.937,15.511,19.209,19.594,4.386,22.321,12.287,14.807,13.369,20.513,51.104,17.763,18.282,18.742,13.628,31.807,15.066,14.481,15.214,42.893,11.879,16.281,11.079,11.872,31.919,33.519,106.766,30.347,28.768,72.729
361.49,18.36,17.539,18.792,17.656,20.661,19.496,26.664,21.797,22.149,21.907,18.352,19.276,24.597,29.801,21.387,27.499,16.989,25.154,25.814,26.796,29.962,34.938,26.693,28.972,27.016,16.19,18.858,19.261,6.551,22.244,12.335,15.406,13.823,20.463,51.869,18.015,18.374,19.936,14.109,32.505,15.846,14.988,15.934,42.466,10.627,15.67,12.02,12.863,32.041,33.524,108.077,30.973,30.365,73.476
361.7,18.174,15.709,17.894,17.239,20.131,19.145,26.473,20.617,21.279,21.205,17.563,19.057,23.56,29.674,19.579,26.54,15.459,23.883,24.906,26.827,29.233,33.839,26.142,27.967,27.305,15.783,18.071,18.122,6.759,22.419,11.118,14.929,12.678,20.234,51.799,17.026,19.079,18.262,14.002,31.028,13.296,14.392,14.267,42.962,10.014,15.9,11.493,12.398,32.396,33.625,108.594,31.366,28.666,73.299
361.92,18.331,17.434,17.058,17.398,20.847,18.787,26.271,21.744,22.279,22.525,17.919,19.965,24.297,30.096,19.459,26.582,15.966,24.449,25.273,27.008,29.214,33.43,26.285,29.011,27.724,15.988,18.772,18.049,6.196,23.234,11.505,15.757,13.154,21.708,52.267,17.695,18.57,17.485,15.656,31.456,13.233,14.137,14.072,42.44,9.914,14.817,11.266,12.958,33.228,32.07,106.877,31.109,26.835,73.65
362.14,18.506,16.186,16.938,17.509,19.316,17.321,26.733,21.861,22.938,22.331,18.029,19.085,23.234,28.642,19.099,26.09,16.2,22.764,24.919,27.326,28.005,31.786,24.723,27.832,26.581,16.54,17.531,16.605,7.129,22.844,11.364,13.482,12.47,21.001,52.216,17.169,17.979,16.981,15.253,31.671,12.239,13.533,14.118,43.071,8.906,14.249,10.822,12.579,32.012,29.914,107.106,30.268,26.711,73.079
362.36,17.89,17.438,16.593,16.535,19.911,17.231,26.713,21.337,22.778,22.656,19.223,18.198,23.445,28.584,18.972,27.58,16.456,23.782,25.38,27.329,27.824,31.279,25.079,28.168,26.849,16.105,16.148,16.478,8.021,21.983,11.69,14.593,11.203,22.155,51.39,16.499,17.739,15.912,15.661,31.207,11.826,14.041,14.7,42.524,9.346,13.955,11.016,13.511,33.864,28.835,107.232,29.422,27.53,72.742
362.58,17.834,16.472,16.209,15.975,18.643,16.592,26.109,22.738,21.971,21.61,20.346,17.281,22.646,26.67,18.48,25.534,16.337,23.994,24.711,26.833,28.351,31.091,24.846,26.563,26.705,15.208,16.493,14.697,9.039,22.681,11.341,15.116,11.589,21.191,50.891,16.28,18.395,15.542,15.109,30.672,11.745,14.229,13.782,41.516,8.58,13.654,11.319,11.859,33.286,27.514,106.777,29.331,26.854,72.656
362.8,17.354,16.613,14.869,15.731,17.403,15.147,25.625,22.044,20.977,21.617,19.873,17.14,22.642,25.311,18.713,24.991,16.521,23.447,23.774,25.361,27.909,29.447,25.447,25.247,25.945,14.015,15.51,13.225,8.282,22.664,9.844,14.606,11.246,20.073,50.103,16.03,15.78,14.969,13.88,28.906,11.666,13.745,12.35,40.843,7.88,12.784,10.89,10.592,33.189,26.614,106.719,29.632,26.465,71.493
363.02,15.308,15.173,12.887,14.411,16.668,12.93,23.51,19.879,20.256,20.634,18.419,16.091,21.025,24.066,17.693,23.674,15.885,22.229,21.759,24.158,26.223,27.148,23.567,23.816,25.988,11.883,13.143,11.513,7.965,21.766,7.889,13.499,10.239,18.213,47.818,14.916,15.066,11.897,12.325,27.782,10.851,11.933,10.481,38.754,5.91,11.89,10.103,9.776,32.286,25.005,105.824,29.569,25.297,69.697
363.24,14.145,15.118,11.223,13.394,16.121,11.858,22.641,18.162,20.038,19.857,18.104,15.854,20.564,24.387,17.073,22.634,16.078,22.497,21.458,24.171,25.685,26.471,23.016,23.997,26.342,10.892,12.651,11.649,8.468,22.252,6.593,13.272,9.55,17.506,46.66,14.794,14.505,11.57,11.923,27.748,10.264,11.007,9.853,37.471,5.352,10.105,9.636,10.048,32.399,23.723,106.434,29.869,24.365,70.16
363.46,14.069,14.96,11.69,13.213,16.841,11.676,21.977,17.985,19.128,20.946,18.581,17.515,21.086,25.072,16.511,23.325,15.241,21.549,21.297,24.525,25.184,27.388,23.072,24.104,25.247,11.108,13.985,10.35,8.956,22.651,7.649,12.925,8.841,17.255,48.326,14.595,14.097,10.294,12.203,27.135,11.431,10.589,9.087,36.847,5.291,10.231,10.568,10.947,33.106,24.56,103.803,29.121,24.805,69.125
363.68,12.489,14.976,11.552,12.83,15.75,9.967,22.08,17.207,19.402,20.979,17.271,15.58,20.88,23.97,16.652,23.238,14.876,18.471,20.688,23.728,25.959,26.939,22.705,23.188,23.913,10.55,11.964,10.251,10.016,21.86,7.154,10.5,8.816,15.999,48.622,13.64,13.321,8.887,11.452,26.826,9.101,9.619,8.262,36.125,4.703,9.47,9.022,9.847,32.974,24.304,103.751,28.758,22.776,68.876
363.9,12.427,14.846,11.773,12.406,14.523,10.296,22.027,16.928,18.328,19.84,17.125,16.619,21.077,23.356,16.154,23.258,14.839,18.525,21.492,23.834,25.811,27.52,23.651,21.999,23.525,11.07,11.829,9.909,9.159,23.792,6.913,9.614,9.002,15.718,48.998,12.954,13.292,8.334,11.098,26.915,9.452,9.002,7.708,36.325,5.043,9.122,9.438,9.276,32.499,23.891,103.305,28.736,22.364,69.477
364.12,11.96,14.562,12.231,10.951,14.854,9.706,21.095,16.851,17.561,18.528,17.067,15.94,20.643,22.814,15.773,22.278,13.212,17.296,21.213,22.716,24.963,26.48,22.709,21.227,22.758,10.311,10.791,9.65,8.852,22.535,6.526,9.198,9.574,15.453,48.828,11.849,11.8,7.124,9.413,26.202,10.958,7.201,7.145,35.295,3.994,8.133,7.674,9.643,33.228,22.494,103.228,27.169,21.68,69.429
364.34,11.876,14.85,12.851,10.982,14.816,8.861,21.869,16.705,15.771,18.07,17.128,14.618,20.593,21.965,15.696,21.726,13.909,15.184,20.771,21.842,24.966,26.726,23.158,20.28,22.715,10.246,9.809,9.488,9.462,21.637,6.303,9.161,9.345,14.611,48.533,12.469,11.508,8.165,7.892,25.825,11.235,7.019,7.156,35.109,4.243,8.124,8.472,9.488,33.584,23.622,103.424,27.64,22.19,68.752
364.56,11.648,14.916,12.408,11.262,15.16,8.34,20.442,16.591,15.96,16.584,16.788,14.096,21.405,22.625,15.276,22.585,12.231,14.964,20.401,22.402,25.053,26.632,22.835,21.229,22.924,9.662,9.987,9.946,7.897,20.795,5.919,7.973,9.94,14.903,48.749,12.116,10.93,8.407,6.902,24.53,10.285,8.021,6.902,35.691,4.773,8.516,8.353,10.157,33.376,23.595,103.478,27.412,22.049,69.618
364.77,11.669,13.288,12.816,11.906,15.548,8.297,19.467,17.909,15.575,16.924,15.366,14.024,20.89,22.105,15.238,21.133,12.202,14.577,19.325,21.949,24.924,27.15,22.631,20.594,21.916,10.82,10.759,9.727,8.161,20.364,6.745,6.921,11.035,14.61,49.241,12.621,10.617,9.457,5.821,23.71,10.927,7.987,6.691,35.966,3.804,7.744,7.825,9.079,32.176,24.931,102.658,27.548,22.044,70.887
364.99,10.535,13.945,12.519,12.439,15.047,7.543,18.868,17.727,15.863,16.486,14.363,14.761,20.679,22.809,15.531,21.091,12.094,13.295,18.729,21.482,23.658,26.504,22.656,19.89,21.927,10.9,11.584,9.394,6.725,18.789,6.369,5.838,11.166,14.669,48.424,11.763,9.341,8.538,5.387,23.147,11.179,7.722,6.342,36.104,3.994,8.446,7.464,9.222,32.502,24.494,102.455,26.61,21.469,69.953
365.21,10.307,12.171,11.716,11.413,14.193,6.467,17.756,16.84,15.286,14.726,12.921,13.732,19.428,22.879,13.56,19.514,10.867,12.553,18.552,21.615,22.708,26.232,20.765,18.849,21.062,10.781,10.913,8.588,7.538,17.947,6.889,5.269,10.636,13.817,48.116,10.241,8.173,7.686,4.222,23.426,9.233,6.283,6.197,34.754,3.431,7.699,5.058,9.161,33.091,23.564,101.594,25.468,20.811,69.27
