A,burntumber,rawumber,vandykebrown,burntsienna,rawsienna,redochre,redlead,cadmiumred,alizarin,madderlake,lacdye,carminelake,vermilion,realgar,yellowlakeresed,massicot,yellowochre,gamboge,naplesyellow,leadtinyellowII,leadtinyellowI,saffron,orpiment,cobaltyellow,cadmiumyellow,chromegreen,cobaltgreen,cadmiumgreen,greenearth,viridian,phthalogreen,verdigris,malachite,bluebice,cobaltblue,azurite,egyptianblue,ultramarine,Phthaloblue,smalt,indigo,mayablue,prussianblue,cobaltviolet,ivoryblack,vineblack,boneblack,lampblack,gypsum,chalk,leadwhite,zincwhite,titaniumwhite,lithopone,cardboard
360.1690084,-19.87409463,5.259595207,4.799296013,-7.869085494,15.66709538,15.36587017,33.77445339,4.349150477,4.741758614,35.31780952,-5.046368375,18.21227916,16.18154742,-7.581398497,30.24436472,24.17924592,18.82149868,17.86705476,6.596493603,10.94564408,25.80383131,25.14045895,38.54667298,33.47999729,15.93785961,15.45048399,14.17450755,9.64936032,31.92987206,44.20564543,9.510593651,-2.565491099,45.34285521,-15.08156772,58.01462127,-9.82535707,7.594936709,25.92905977,-28.32870778,40.04602992,-5.503283016,5.411900088,-4.609761051,68.39504501,-26.39612807,-17.99566777,-8.941988763,1.790428484,135.9642591,109.8287416,117.464293,39.36573479,76.13890205,74.12847763,109.4579563
360.3884707,-19.73566067,1.425852099,2.758323457,-6.155945839,12.04970729,12.61717487,32.33846927,4.708544338,5.12516611,32.85565492,-8.623352369,17.55198793,19.92601372,-6.037424128,24.53040261,24.67765686,12.73569658,18.306217,7.560248536,11.1015336,23.92701936,29.10605897,41.65140251,37.76891858,13.92450526,15.0414826,9.812161046,7.111302661,32.15529936,43.92127285,1.734726861,-7.764967855,45.12803936,-19.64587149,53.48561577,-11.8737205,11.04766009,24.01321697,-34.54369141,34.74481916,-7.707502783,0.653665194,-9.140538017,71.03760371,-26.4698488,-28.15429372,-7.014330352,3.020507848,147.6888266,114.258521,124.7889954,33.78946234,77.62094602,76.51474338,110.3199902
360.6079162,-25.08478998,-8.83772502,-1.438168536,-13.60226976,2.843725541,2.46869293,23.59770415,-2.295851813,1.177276285,23.51617532,-16.22423689,9.238846856,12.28476389,-8.322462823,18.11896687,18.76141404,5.077615445,12.08583355,2.413253326,7.070180016,13.33159405,16.80472215,30.95160449,24.16188364,11.62601096,8.188755544,4.203626402,4.464518654,15.63070702,31.91038351,-5.716801461,-18.07331072,35.42264545,-27.16540569,38.47508479,-12.85872685,3.417688495,9.043177668,-36.6227498,27.47847639,-7.803939473,-7.461518393,-14.78606835,65.18066788,-31.07226715,-32.64414297,-11.49882598,-5.905948343,123.0367858,93.48747717,103.3883381,29.621054,62.55217845,69.09405166,111.1260347
360.8273447,-32.94612736,-10.19371892,-1.398114979,-20.74566132,-4.789065489,0.281709735,22.76979793,-9.72768059,-2.045004,26.70677842,-22.90891385,5.422042917,7.22359406,-11.31707996,13.76204222,15.44186694,10.61454457,6.242826835,1.081626265,1.888498591,0.653844816,9.195562202,25.7294891,19.34754634,11.17796404,7.195770876,0.413869857,6.614961917,13.32382708,31.45410914,-8.04090008,-20.72131604,38.00299099,-32.18098981,41.12266546,-13.1255869,-0.333878204,7.609640733,-39.50892081,25.73296699,-16.28004034,-18.44677077,-15.00017389,69.5127465,-33.45390046,-38.61162313,-16.15135812,-9.282509651,130.4003061,96.17431225,112.8369214,25.57646159,67.7946649,71.10910166,107.4930227
361.0467563,-28.86811329,-8.182978577,-1.476523959,-19.14306413,-10.49090972,0.144892538,24.20050367,-10.77034533,-0.683064822,33.57712078,-25.14575499,2.238934695,5.281677994,-11.71904647,7.148031876,13.34391279,11.87428847,2.918549695,3.135888502,2.680511954,1.814606548,10.01828406,21.79942733,14.52720185,4.719356953,-0.396729568,-0.351881878,4.498568324,17.02832304,32.23169007,-8.962638424,-13.51295408,36.35077793,-27.61582778,35.00534722,-8.624555835,0.431227792,6.920343602,-31.79011281,26.55673233,-18.16676441,-20.58508987,-11.96398385,75.23027564,-31.70386725,-37.08903991,-20.01241936,-13.01962949,130.0652016,97.37123538,111.8363404,28.55417946,69.44492359,76.81374409,110.2566393
361.2661509,-33.33819242,-13.57142857,-6.53425656,-20.17492711,-9.945335277,-3.021137026,19.50072886,-18.19970845,-5.506559767,32.0590379,-31.91690962,-0.714285714,5.95845481,-13.1377551,6.319241983,13.05393586,2.35787172,1.94606414,3.075801749,-6.643586006,-3.199708455,8.166909621,18.43294461,16.62536443,0.105685131,-3.593294461,-2.172011662,-0.743440233,14.34037901,34.47521866,-10.79446064,-17.87536443,33.89941691,-30.7361516,30.01457726,-14.32215743,0.502915452,7.168367347,-33.53498542,26.58527697,-15.73250729,-28.33090379,-13.0648688,77.95553936,-33.96501458,-37.85349854,-18.58236152,-18.49125364,129.154519,98.83381924,120.7470845,31.68002915,70.47011662,77.78061224,116.7073243
361.4855286,-36.6324749,-15.57907755,-10.39938891,-22.54837771,-16.87763713,-9.493670886,18.42354139,-20.10403026,-11.45424123,30.91081042,-29.35035647,-0.760221155,4.670449585,-20.63145642,-2.393423541,13.54939619,2.069693002,0.807507639,2.266113779,-12.73097628,-1.585915903,2.335224793,17.07405791,13.04743198,7.813182017,4.783209661,-2.924487124,3.844754838,13.69853048,38.71308017,-3.066346574,-11.64702459,34.97017314,-25.24006984,37.52364324,-10.41757602,3.953877492,8.195111305,-26.61501528,32.72952132,-9.697366507,-26.43314419,-7.744071002,87.54910519,-27.84810127,-24.35253892,-15.04801397,-11.41059217,138.2256656,103.9902517,126.6659392,34.55186963,70.38411174,80.65982831,123.3988473
361.7048893,6.281763537,16.75308929,19.2528958,12.07852849,10.5667776,23.65142017,39.66153291,16.59572273,17.96816552,46.74044837,8.830585868,29.87900833,33.12695096,15.04785491,25.63527075,36.87537084,28.66651188,27.63717978,30.88512241,20.11454222,29.12571266,29.72680133,39.44225163,34.50713309,33.31011532,32.46910714,25.9964399,25.1967082,33.82865103,54.28630395,27.53914816,18.87108841,22.82331089,10.03534298,54.0128473,19.67597967,27.68877538,37.37068854,6.947346697,51.95418311,16.66537678,6.271444419,21.23674638,85.56871243,4.731315946,10.96664345,14.37969197,17.69728865,101.9245156,102.2934241,115.5251142,50.16123623,53.64135903,88.89920801,124.6436033
361.9242332,0.515797932,15.98973588,16.547005,8.327933439,9.302506415,23.19017133,36.6138773,13.3044763,18.65944377,44.60226536,10.92765869,26.71781447,31.53106451,11.41235323,24.81273166,37.95909904,31.83432259,23.55563619,29.2112698,18.92900651,28.28594386,26.29532672,38.48267282,29.2112698,32.11943703,31.10598481,22.61475856,21.27212877,31.46108188,57.44019077,25.41147197,17.4438195,24.24509474,8.094657992,51.70679868,17.88185895,22.19227081,35.7274306,5.598610715,49.57103237,12.49838003,8.659702963,19.48368368,87.75822296,6.303620953,5.189082709,9.292138617,17.2079521,98.26080195,96.34016744,110.5103548,49.92612944,49.88465825,88.47619294,126.3028817
362.14356,-4.17696559,14.71380565,12.53089677,7.22637265,3.216041325,16.18296442,37.38995195,15.30258005,15.11928236,39.05351737,10.0841503,22.27344683,29.88585553,6.271002861,23.91479435,33.95728608,30.82456189,22.42341767,22.95942456,20.93204099,27.34746022,19.25736662,40.58377538,27.50854001,30.48018441,31.63273808,21.23475991,21.24031438,28.76385147,51.36501236,20.44046991,16.19962785,21.86241564,11.85047352,47.82125698,12.30038604,19.73505152,36.90948982,-2.666148249,51.02063488,8.445580026,3.213264088,17.22998306,91.82936651,3.938123143,2.527286361,1.760768739,15.87469103,100.9525926,95.86191574,118.9879746,51.61774099,50.7429111,88.01344183,126.8572458
362.36287,1.624065955,13.89141644,8.247166846,8.285769432,2.87037803,16.03110266,38.05387818,14.7268867,15.69195136,40.88841095,12.05503626,20.89502854,29.85082858,10.63501255,23.13397855,34.43074972,32.57506824,23.7681639,26.52273417,23.36283674,25.82513028,22.34538285,37.13844542,26.73780572,32.69914799,35.13386825,22.55218242,19.33162379,27.69735572,53.11164419,19.50533543,11.06515565,17.04579921,9.901563405,48.4462459,12.57065652,21.24245182,37.25425318,-1.786748284,51.73022307,11.03758238,5.591860369,14.81236386,87.80158271,0.540436209,2.437477597,0.636942675,15.79672981,100.5156203,93.92009265,118.9952298,49.24035625,52.92414592,88.09937409,128.79941
362.582163,3.495322594,10.71648752,4.881121505,6.556410325,-3.65615032,6.942396869,30.92985231,14.00273407,11.56083309,35.11405366,8.513147667,13.30849438,28.60053073,8.317473933,18.86509234,30.68324979,25.42954405,15.05615568,23.62291259,21.03894711,24.19921194,19.24839842,33.48969362,27.59535744,35.89942906,34.74683035,25.58233039,17.50341759,23.30125714,49.01761064,17.6722867,7.376631731,22.00659394,10.39215161,49.98793792,12.95199292,20.47605007,34.29919318,2.827887528,49.31246147,9.719355617,4.076982872,16.83866299,89.64001394,-5.084836626,0.766612164,-2.726029968,17.27289785,95.23949929,90.70951832,117.3506312,45.81177795,52.31993996,82.2285362,122.5372833
