	Peridinin	19'-Butanoyloxyfucoxanthin	Fucoxanthin	Neoxanthin	Prasinoxanthin	19'-keto-hexanoyloxyfucoxanthin	Violaxanthin	19'-hexanoyloxyfucoxanthin	Astaxanthin	Diadinoxanthin	Dinoxanthin	Antheraxanthin	Alloxanthin	Myxoxanthophyll	Diatoxanthin	Zeaxanthin	Lutein	Canthaxanthin	Gyroxanthin diester	Echinenone	"B,e-carotene"	"B,B-carotene"
800.2	0.000229295	0.000524138	0.00062919	0.001281996	0.00012841	0.001014483	0.000127921	-0.000561997	0.000260775	0.000781162	0.000553851	0.00143112	0.000376064	0.000863426	0.000161715	0.000427488	0.000285236	0.000256975	0.000854648	0.000404083	0.000153486	0.000989305
799.3	0.000226346	0.000451935	0.000588152	0.001202592	0.000166389	0.000957224	0.000165676	-0.000504877	0.000298056	0.000737536	0.000640012	0.001261959	0.000304865	0.000919977	0.000157913	0.000271619	0.00019187	0.000389538	0.000645262	0.000432844	0.000168282	0.001010606
798.5	0.000222093	0.000533271	0.000599412	0.001196664	0.000164548	0.000912351	0.000252914	-0.000521254	8.60175E-05	0.00070341	0.00069583	0.001594743	0.000265764	0.00083365	0.000109414	0.000448244	0.000160075	0.000312157	0.000691529	0.000505793	-2.33011E-05	0.000990849
797.6	0.000179173	0.000599012	0.000547561	0.001057949	0.000216315	0.000932061	0.000310373	-0.00056524	0.000163448	0.000709706	0.000687355	0.00135376	0.000465506	0.000806001	0.000560674	0.000302124	7.42047E-05	0.000397618	0.000705237	0.000504515	0.000210579	0.000871846
796.7	0.000313573	0.000520226	0.000491375	0.001196781	8.55986E-05	0.000994884	0.000240938	-0.000518364	0.000266083	0.000753637	0.000688448	0.001228548	0.000349829	0.000671421	0.00035149	0.000333586	0.000107145	0.000351784	0.000741984	0.000270437	0.000225282	0.000922749
795.9	0.000264526	0.00059657	0.000392427	0.001139959	0.000204222	0.000883073	0.000148032	-0.00041345	0.000323456	0.000638106	0.000533654	0.001132822	0.000428707	0.000727414	0.000198166	0.00047254	0.000142457	0.000329079	0.000823612	0.000253047	0.000150749	0.000787006
795.0	0.000206246	0.000465084	0.000496128	0.001348394	0.000199707	0.000950338	0.000193699	-0.000407071	0.00031953	0.000840572	0.00066465	0.001315643	0.000305739	0.000819726	0.000218639	0.000384708	0.000139743	0.000283593	0.000725379	0.000417907	0.000308365	0.001023996
794.2	0.000264126	0.000709892	0.00049611	0.00115268	0.000107088	0.000978709	0.000365168	-0.000645444	0.000412832	0.000703491	0.000565536	0.001103758	0.000390765	0.000774367	0.000326241	0.000320319	0.000119898	0.000369254	0.000813734	0.00039364	0.000303547	0.000875196
793.3	0.000201557	0.000484502	0.000461024	0.001287629	6.49234E-05	0.001015255	0.000122875	-0.000541249	0.000347292	0.000744112	0.000670097	0.001272169	0.000348491	0.00085065	0.000217242	0.000426838	0.000192857	0.000300338	0.000847747	0.000337381	0.000260321	0.000974494
792.5	0.000205018	0.000556026	0.000557554	0.001019058	0.000132617	0.00087368	0.000240516	-0.000556565	0.000208091	0.000601847	0.000438726	0.00135948	0.000293586	0.000724448	0.000254214	0.000364475	0.00012413	0.00024993	0.00085468	0.000397826	0.000137216	0.000989652
791.6	0.000203324	0.000505212	0.00051434	0.00125998	0.000122267	0.000834434	0.000214611	-0.000590297	0.000304801	0.000789418	0.000613025	0.001212311	0.000329789	0.00069013	0.000278707	0.00038248	0.000218092	0.000200075	0.000530391	0.000338082	0.000226431	0.001001864
790.8	0.000226874	0.000507167	0.000542561	0.001056199	0.000175403	0.00086936	0.000109986	-0.000568718	0.000337762	0.000615722	0.000596597	0.001019698	0.000328604	0.000849489	0.000236569	0.000370827	0.000120112	0.00033288	0.000721994	0.000293159	0.000267546	0.001027187
789.9	0.000343171	0.000518465	0.000501472	0.001340801	8.59645E-05	0.000955371	0.000145901	-0.000583679	0.000305768	0.000767281	0.000639667	0.001283575	0.000422807	0.000831104	0.000119671	0.000482474	0.00026845	0.000302219	0.000923626	0.000375639	0.000236312	0.000960138
789.1	0.000273958	0.000593627	0.000597777	0.00107548	8.0912E-05	0.000900425	0.000124961	-0.000580974	0.00027778	0.000638509	0.000582507	0.001232542	0.000289482	0.000861699	0.000162284	0.000466527	0.000129082	0.000340625	0.000720869	0.00031031	0.000103147	0.001114074
788.2	0.000300043	0.000462275	0.000480119	0.001243436	9.52601E-05	0.000901299	0.000194896	-0.000554249	0.000313421	0.000802569	0.000656536	0.001256823	0.000298799	0.000747162	0.00024488	0.000394866	0.000201052	0.000341143	0.00088887	0.000328179	0.000299366	0.00089137
