H. Buiteveld and J. M. H. Hakvoort and M. Donze, "The optical properties
of pure water," in SPIE Proceedings on Ocean Optics XII, edited by J. S.
Jaffe, 2258, 174--183, (1994).

lambda	 absorption
 (nm) 	   (1/cm)
300	 0.000382
302	 0.000361
304	 0.000341
306	 0.000323
308	 0.000305
310	 0.000288
312	 0.000272
314	 0.000257
316	 0.000242
318	 0.000228
320	 0.000215
322	 0.000203
324	 0.000191
326	 0.00018
328	 0.00017
330	 0.00016
332	 0.000151
334	 0.000142
336	 0.000134
338	 0.000127
340	 0.000119
342	 0.000113
344	 0.000107
346	 0.000101
348	 9.6e-05
350	 9.1e-05
352	 8.6e-05
354	 8.2e-05
356	 7.8e-05
358	 7.5e-05
360	 7.1e-05
362	 6.9e-05
364	 6.6e-05
366	 6.4e-05
368	 6.2e-05
370	 6e-05
372	 5.8e-05
374	 5.7e-05
376	 5.6e-05
378	 5.5e-05
380	 5.4e-05
382	 5.4e-05
384	 5.3e-05
386	 5.3e-05
388	 5.3e-05
390	 5.4e-05
392	 5.4e-05
394	 5.4e-05
396	 5.5e-05
398	 5.6e-05
400	 5.8e-05
402	 5.9e-05
404	 6.1e-05
406	 6.3e-05
408	 6.5e-05
410	 6.7e-05
412	 6.9e-05
414	 7.2e-05
416	 7.4e-05
418	 7.6e-05
420	 7.9e-05
422	 8.2e-05
424	 8.4e-05
426	 8.7e-05
428	 8.9e-05
430	 9.2e-05
432	 9.4e-05
434	 9.7e-05
436	 9.9e-05
438	 0.000102
440	 0.000104
442	 0.000106
444	 0.000108
446	 0.00011
448	 0.000112
450	 0.000114
452	 0.000116
454	 0.000118
456	 0.00012
458	 0.000122
460	 0.000124
462	 0.000126
464	 0.000128
466	 0.00013
468	 0.000133
470	 0.000135
472	 0.000138
474	 0.000141
476	 0.000144
478	 0.000148
480	 0.000152
482	 0.000157
484	 0.000162
486	 0.000167
488	 0.000174
490	 0.000181
492	 0.000189
494	 0.000198
496	 0.000209
498	 0.000223
500	 0.000238
502	 0.000255
504	 0.000273
506	 0.000291
508	 0.00031
510	 0.000329
512	 0.000349
514	 0.000368
516	 0.000386
518	 0.000404
520	 0.000409
522	 0.000416
524	 0.000409
526	 0.000427
528	 0.000423
530	 0.000429
532	 0.000445
534	 0.000456
536	 0.00047
538	 0.00048
540	 0.000495
542	 0.000503
544	 0.000527
546	 0.000544
548	 0.000564
550	 0.000588
552	 0.000611
554	 0.000631
556	 0.000646
558	 0.000658
560	 0.000672
562	 0.000686
564	 0.000699
566	 0.000718
568	 0.000734
570	 0.000759
572	 0.000787
574	 0.000819
576	 0.000858
578	 0.000896
580	 0.000952
582	 0.001
584	 0.001079
586	 0.001159
588	 0.001253
590	 0.001356
592	 0.001459
594	 0.001567
596	 0.0017
598	 0.00186
600	 0.002224
602	 0.002366
604	 0.002448
606	 0.002587
608	 0.002653
610	 0.002691
612	 0.002715
614	 0.00274
616	 0.002764
618	 0.002785
620	 0.00281
622	 0.002839
624	 0.002868
626	 0.002893
628	 0.002922
630	 0.002955
632	 0.002988
634	 0.003011
636	 0.003038
638	 0.003076
640	 0.003111
642	 0.003144
644	 0.003181
646	 0.003223
648	 0.003263
650	 0.003315
652	 0.003362
654	 0.003423
656	 0.003508
658	 0.003636
660	 0.003791
662	 0.003931
664	 0.004019
666	 0.004072
668	 0.004098
670	 0.004122
672	 0.00415
674	 0.004173
676	 0.004223
678	 0.00427
680	 0.004318
682	 0.004381
684	 0.004458
686	 0.004545
688	 0.004646
690	 0.00476
692	 0.004903
694	 0.005071
696	 0.005244
698	 0.00547
700	 0.005722
702	 0.005995
704	 0.006303
706	 0.006628
708	 0.006993
710	 0.007415
712	 0.007893
714	 0.008445
716	 0.009109
718	 0.009871
720	 0.010724
722	 0.011679
724	 0.012684
726	 0.013719
728	 0.01487
730	 0.016211
732	 0.017872
734	 0.019917
736	 0.022074
738	 0.023942
740	 0.025319
742	 0.026231
744	 0.026723
746	 0.027021
748	 0.027216
750	 0.027334
752	 0.027413
754	 0.027478
756	 0.027542
758	 0.027628
760	 0.02771
762	 0.027733
764	 0.027742
766	 0.027701
768	 0.02761
770	 0.027542
772	 0.027482
774	 0.027305
776	 0.027097
778	 0.026896
780	 0.02659
782	 0.026332
784	 0.026062
786	 0.025702
788	 0.025335
790	 0.024924
792	 0.024481
794	 0.024083
796	 0.023742
798	 0.023332
800	 0.022932
